BaseName,Tag,Original_Value,Converted_Value,Change_Status
"Cópia (4) de O Jabuti é um prêmio para as conveniências do mercado","FlashPix:HeadingPairs","TâÂ¡tulo, 1","","Removed from original"
"Cópia (4) de O Jabuti é um prêmio para as conveniências do mercado","FlashPix:HyperlinksChanged","No","","Removed from original"
"Cópia (4) de O Jabuti é um prêmio para as conveniências do mercado","FlashPix:Identification","Word 8.0","","Removed from original"
"Cópia (4) de O Jabuti é um prêmio para as conveniências do mercado","FlashPix:Keywords","","","Modified"
"Cópia (4) de O Jabuti é um prêmio para as conveniências do mercado","FlashPix:LanguageCode","Portuguese (Brazilian)","","Removed from original"
"Cópia (4) de O Jabuti é um prêmio para as conveniências do mercado","FlashPix:LastModifiedBy","Marcelo","","Removed from original"
"Cópia (4) de O Jabuti é um prêmio para as conveniências do mercado","FlashPix:Lines","20","","Removed from original"
"Cópia (4) de O Jabuti é um prêmio para as conveniências do mercado","FlashPix:LinksUpToDate","No","","Removed from original"
"Cópia (4) de O Jabuti é um prêmio para as conveniências do mercado","FlashPix:ModifyDate","2010:11:17 12:02:00","","Removed from original"
"Cópia (4) de O Jabuti é um prêmio para as conveniências do mercado","FlashPix:Pages","1","","Removed from original"
"Cópia (4) de O Jabuti é um prêmio para as conveniências do mercado","FlashPix:Paragraphs","5","","Removed from original"
"Cópia (4) de O Jabuti é um prêmio para as conveniências do mercado","FlashPix:RevisionNumber","16","","Removed from original"
"Cópia (4) de O Jabuti é um prêmio para as conveniências do mercado","FlashPix:ScaleCrop","No","","Removed from original"
"Cópia (4) de O Jabuti é um prêmio para as conveniências do mercado","FlashPix:Security","","","Modified"
"Cópia (4) de O Jabuti é um prêmio para as conveniências do mercado","FlashPix:SharedDoc","No","","Removed from original"
"Cópia (4) de O Jabuti é um prêmio para as conveniências do mercado","FlashPix:Software","Microsoft Office Word","","Removed from original"
"Cópia (4) de O Jabuti é um prêmio para as conveniências do mercado","FlashPix:Subject","","","Modified"
"Cópia (4) de O Jabuti é um prêmio para as conveniências do mercado","FlashPix:System","Windows","","Removed from original"
"Cópia (4) de O Jabuti é um prêmio para as conveniências do mercado","FlashPix:Template","Normal","","Removed from original"
"Cópia (4) de O Jabuti é um prêmio para as conveniências do mercado","FlashPix:Title","                O Jabuti ââ um prâÂ¬mio para as conveniâÂ¬ncias do mercado, para os clientes, fornecedores e amigos","","Removed from original"
"Cópia (4) de O Jabuti é um prêmio para as conveniências do mercado","FlashPix:TitleOfParts","                O Jabuti ââ um prâÂ¬mio para as conveniâÂ¬ncias do mercado, para os clientes, fornecedores e amigos","","Removed from original"
"Cópia (4) de O Jabuti é um prêmio para as conveniências do mercado","FlashPix:TotalEditTime","1.0 hours","","Removed from original"
"Cópia (4) de O Jabuti é um prêmio para as conveniências do mercado","FlashPix:Word97","No","","Removed from original"
"Cópia (4) de O Jabuti é um prêmio para as conveniências do mercado","FlashPix:Words","458","","Removed from original"
"Cópia (4) de O Jabuti é um prêmio para as conveniências do mercado","ICC-header:CMMFlags","","Not Embedded, Independent","Added in converted"
"Cópia (4) de O Jabuti é um prêmio para as conveniências do mercado","ICC-header:ColorSpaceData","","GRAY","Added in converted"
"Cópia (4) de O Jabuti é um prêmio para as conveniências do mercado","ICC-header:ConnectionSpaceIlluminant","","0.9642 1 0.82491","Added in converted"
"Cópia (4) de O Jabuti é um prêmio para as conveniências do mercado","ICC-header:DeviceAttributes","","Reflective, Glossy, Positive, Color","Added in converted"
"Cópia (4) de O Jabuti é um prêmio para as conveniências do mercado","ICC-header:DeviceManufacturer","","none","Added in converted"
"Cópia (4) de O Jabuti é um prêmio para as conveniências do mercado","ICC-header:DeviceModel","","","Modified"
